Component,Description / Function,Qty,Total Item Price,Link / Source
GEPRC TAKER G4 45A AIO,Flight Controller & ESC (25.5x25.5mm),1,$63.99,https://geprc.com/product/gep-taker-g4-45a-aio/
1103 Brushless Motors 8500KV,Propulsion Motors (4x Set),1,$39.99,https://betafpv.com/collections/1102-1104-motors/products/1103-brushless-motors
40mm Micro Propellers,4x Props,1,$2.51,https://betafpv.com/products/gemfan-2015-2-blade-propellers-4pcs-1-5mm-shaft
1.5g Digital Linear Servos,Folding Arm & Landing Gear,4,$34.74,https://de.aliexpress.com/item/1005006578654460.html?spm=a2g0o.detail.0.0.7b29BHWuBHWudn&mp=1&pdp_npi=6%40dis%21EUR%21EUR+39.66%21EUR+13.19%21%21EUR+13.19%21%21%21%4021613b2717891211224777623e0d16%2112000037718242673%21ct%21DE%218445344828%21%212%210%21&gatewayAdapt=glo2deu
BetaFPV LAVA 1S 450mAh 75C,LiHV Batteries,1,$17.99,https://betafpv.com/products/lava-1s-450mah-75c-battery-4pcs
2S Whoop Cable Pigtail,Series Adapter Cable,2,$3.99,https://betafpv.com/products/2s-whoop-cable-pigtail-bt-2-0?variant=31613055008902
MakerHawk 30x30x7mm 5V Fan,Cooling the videotransmitter,1,$4.82,https://www.amazon.de/gp/product/B071JN6HKM/
BetaFPV Air VTX,Analog FPV Videotransmitter,1,$11.99,https://betafpv.com/products/air-vtx
BetaFPV Air Camera,Micro FPV Camera,1,$9.99,https://betafpv.com/products/air-camera
5.8GHz Micro Stubby Antenna,Ultra Compact VTX Antenna,1,$5.45,https://www.aliexpress.com/
RadioMaster RP1 V2 ExpressLRS,2.4GHz Receiver with T-Antenna,1,$20.00,https://radiomasterrc.com/products/rp1-expresslrs-2-4ghz-nano-receiver
BME280 Breakout Board,Barometer Temp & Humidity,1,$7.46,https://de.aliexpress.com/item/1005007345428385.html?spm=a2g0o.cart.0.0.492b4ae4ISOReg&mp=1&pdp_npi=6%40dis%21EUR%21EUR+5.82%21EUR+2.85%21%21EUR+2.85%21%21%21%4021613b2717891211171217504e0d16%2112000040354789925%21ct%21DE%218445344828%21%211%210%21&gatewayAdapt=glo2deu
HGLRC M100 Mini GPS,GPS Module,1,$23,73,https://de.aliexpress.com/item/1005012952756029.html?spm=a2g0o.cart.0.0.6bc14ae4VID9W5&mp=1&pdp_npi=6%40dis%21EUR%21EUR+42.51%21EUR+16.89%21%21EUR+16.89%21%21%21%400b8848bf17891227622695848e0e11%2112000059847188795%21ct%21DE%218445344828%21%211%210%21&gatewayAdapt=glo2deu
5V Active Micro Buzzer,Acoustic Beacon,1,$2.00,https://www.aliexpress.com/
YIXISI M2 Nylon Standoff Kit,Mounting Hardware,1,$9.28,https://www.amazon.de/gp/product/B09439W4WJ/ref=ox_sc_act_image_1?smid=A6CSVRKTUBQZZ&psc=1
M3x10mm Steel Countersunk Screws,Chassis Fasteners,1,$4.17,https://www.amazon.de/gp/product/B0F4JCBPVH/ref=ox_sc_act_image_2?smid=A18T09YKZ7QP5P&th=1
TOTAL,,,$247.90,Included Shipping
